		n 		 BubbleSort 		 InsertionSort 		 MergeSort 		 HeapSort 		 QuickSort 		 CountingSort
		 1000 		0.0202 		0.0 		0.0007 		0.0001 		0.0175 		0.0001
		 2000 		0.0184 		0.0074 		0.0008 		0.001 		0.0005 		0.0002
		 3000 		0.0184 		0.0078 		0.0007 		0.0011 		0.0005 		0.0002
		 4000 		0.0184 		0.0077 		0.0007 		0.001 		0.0005 		0.0003
		 5000 		0.0188 		0.0081 		0.0008 		0.001 		0.0005 		0.0003
		 6000 		0.018 		0.0075 		0.0007 		0.001 		0.0005 		0.0004
		 7000 		0.0185 		0.0078 		0.0007 		0.001 		0.0005 		0.0004
		 8000 		0.0177 		0.0074 		0.0007 		0.001 		0.0005 		0.0005
		 9000 		0.0182 		0.0074 		0.0007 		0.001 		0.0005 		0.0005
		 10000 		0.0185 		0.0081 		0.0007 		0.001 		0.0005 		0.0006
		 11000 		0.0184 		0.0077 		0.0008 		0.001 		0.0005 		0.0006
		 12000 		0.0183 		0.0076 		0.0008 		0.001 		0.0005 		0.0007
		 13000 		0.0181 		0.0074 		0.0007 		0.001 		0.0005 		0.0007
		 14000 		0.0187 		0.008 		0.0008 		0.001 		0.0005 		0.0008
		 15000 		0.0187 		0.0079 		0.0007 		0.001 		0.0005 		0.0008
		 16000 		0.018 		0.0076 		0.0007 		0.001 		0.0005 		0.0009
		 17000 		0.018 		0.0075 		0.0007 		0.001 		0.0005 		0.0009
		 18000 		0.0183 		0.0075 		0.0007 		0.001 		0.0005 		0.001
		 19000 		0.0181 		0.0075 		0.0007 		0.001 		0.0005 		0.0011
		 20000 		0.0182 		0.0076 		0.0007 		0.001 		0.0005 		0.0011
		 21000 		0.0185 		0.0079 		0.0007 		0.001 		0.0005 		0.0011
		 22000 		0.0184 		0.0076 		0.0008 		0.001 		0.0005 		0.0011
		 23000 		0.0184 		0.0077 		0.0007 		0.001 		0.0005 		0.0012
		 24000 		0.0184 		0.0076 		0.0007 		0.001 		0.0005 		0.0012
		 25000 		0.0183 		0.0077 		0.0007 		0.001 		0.0005 		0.0013
